,Life expectancy,Adult Mortality,Alcohol,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness 1-19 years,Schooling,Status_Encoded
730,55.0,36.0,1.53,91.0,10000,17.3,327,62.0,3.39,62.0,2.0,1228.829749,1396923.0,11.3,11.7,0
729,55.7,299.0,1.52,9.0,10000,17.8,326,72.0,3.61,9.0,1.9,1228.829749,1396923.0,11.1,11.7,0
728,56.3,295.0,2.09,65.0,10000,18.2,324,64.0,4.46,65.0,1.8,1228.829749,1396923.0,1.8,11.7,0
727,56.7,292.0,2.13,72.0,57,18.6,323,78.0,5.61,72.0,1.7,1228.829749,1396923.0,1.6,11.7,0
726,57.4,283.0,1.81,9.0,5407,19.1,321,76.0,4.4,9.0,1.6,1228.829749,1396923.0,1.4,11.7,0
725,57.9,278.0,1.82,74.0,10000,19.6,319,77.0,3.53,74.0,1.6,1228.829749,1396923.0,1.2,11.7,0
722,59.3,266.0,0.01,9.0,10000,21.1,312,79.0,4.33,9.0,1.1,1228.829749,1396923.0,9.7,11.7,0
721,59.8,258.0,0.01,81.0,5020,21.6,308,78.0,4.33,81.0,1.1,1228.829749,1396923.0,9.5,11.7,0
752,76.9,12.0,11.69,95.0,14,52.2,0,97.0,8.7,97.0,0.1,3743.55917,5339616.0,1.3,16.5,1
751,77.0,12.0,11.56,95.0,11,52.8,0,97.0,9.1,97.0,0.1,3751.64946,5358783.0,1.3,16.2,1
750,77.0,14.0,11.34,95.0,32,53.3,0,98.0,9.33,98.0,0.1,33228.69291,5375931.0,1.2,16.6,1
749,77.3,11.0,11.54,95.0,0,53.9,0,96.0,9.51,96.0,0.1,4458.7764,539574.0,1.2,16.3,1
748,77.7,98.0,11.27,95.0,0,54.4,0,95.0,9.67,95.0,0.1,46511.6457,544523.0,1.2,16.5,1
747,78.1,92.0,11.28,95.0,2,55.0,0,93.0,9.77,93.0,0.1,48799.8237,5419432.0,1.2,16.6,1
746,78.1,93.0,11.02,95.0,27,55.4,0,93.0,9.92,93.0,0.1,5226.99311,5437272.0,1.2,16.9,1
745,78.4,93.0,10.99,95.0,2,55.9,0,87.0,9.99,87.0,0.1,58487.451,5461438.0,1.2,16.7,1
744,78.8,88.0,10.7,95.0,14,56.3,0,88.0,1.18,88.0,0.1,64322.6664,5493621.0,1.1,16.8,1
743,78.9,86.0,10.08,95.0,6,56.6,0,89.0,11.47,89.0,0.1,58163.29359,552395.0,1.1,16.8,1
742,79.2,84.0,10.28,95.0,5,57.0,0,9.0,11.8,9.0,0.1,5841.41122,5547683.0,1.1,16.8,1
741,79.7,79.0,10.47,95.0,84,57.4,0,91.0,1.87,91.0,0.1,61753.667,557572.0,1.1,16.9,1
740,80.0,76.0,9.26,95.0,2,57.7,0,94.0,1.98,94.0,0.1,5857.521,5591572.0,1.1,18.4,1
739,81.0,75.0,9.5,95.0,17,58.1,0,94.0,11.25,94.0,0.1,61191.19263,5614932.0,1.1,18.7,1
738,84.0,73.0,9.64,95.0,27,58.4,0,94.0,1.8,94.0,0.1,62425.5392,5643475.0,1.1,19.2,1
737,86.0,71.0,9.64,95.0,9,58.8,0,93.0,1.8,93.0,0.1,5314.64416,5683483.0,1.1,19.2,1
768,57.4,325.0,1.34,91.0,183,28.2,2,46.0,5.75,46.0,4.1,768.176767,717584.0,6.4,2.9,0
767,57.7,323.0,0.95,91.0,79,28.6,2,49.0,5.37,53.0,4.3,781.2322196,732711.0,6.3,2.9,0
766,57.9,322.0,1.03,91.0,50,29.0,2,62.0,5.45,62.0,4.3,792.15412,746221.0,6.2,3.3,0
765,58.0,325.0,1.02,91.0,37,29.4,2,68.0,6.22,68.0,4.2,819.974118,758615.0,6.1,3.5,0
764,58.1,326.0,1.18,91.0,71,29.8,2,64.0,6.76,64.0,4.0,864.184726,77752.0,6.0,3.7,0
760,62.0,289.0,0.49,88.0,143,31.3,2,89.0,8.5,89.0,3.3,1214.77118,822934.0,5.7,5.0,0
759,69.0,279.0,0.49,89.0,48,31.7,2,89.0,8.37,89.0,3.2,1253.657431,83684.0,5.7,5.3,0
758,61.3,273.0,0.44,88.0,7,32.2,2,88.0,8.84,88.0,3.1,1325.99724,851146.0,5.6,5.5,0
757,61.8,268.0,0.39,87.0,49,32.7,2,87.0,8.71,87.0,2.7,143.986898,865937.0,5.6,5.9,0
756,62.2,263.0,0.52,81.0,709,33.2,2,81.0,8.95,81.0,1.9,1536.15685,881185.0,5.6,6.3,0
755,62.7,256.0,0.53,82.0,28,33.8,2,82.0,9.14,82.0,2.1,1622.637974,896688.0,5.6,6.3,0
754,63.0,252.0,0.38,78.0,0,34.4,1,78.0,1.57,78.0,2.1,174.91511,912164.0,5.6,6.3,0
753,63.5,241.0,0.38,84.0,47,35.0,1,84.0,1.57,84.0,2.1,1862.167274,927414.0,5.6,6.3,0
785,72.0,176.0,6.58,68.0,253,43.1,9,71.0,5.9,78.0,2.5,282.4242,8562622.0,3.8,12.2,0
784,71.2,188.0,6.13,66.0,113,44.1,9,71.0,5.59,72.0,2.5,2862.154836,8697126.0,3.8,12.3,0
783,71.4,189.0,6.43,63.0,0,45.1,8,74.0,5.79,82.0,2.4,38.46578,8832285.0,3.7,12.3,0
782,73.0,22.0,6.32,79.0,0,46.1,8,65.0,5.53,79.0,2.3,2372.628827,896776.0,3.6,12.4,0
781,69.3,214.0,5.16,82.0,0,47.2,8,66.0,4.28,79.0,2.1,2421.9662,912998.0,3.6,12.5,0
780,69.7,28.0,5.71,87.0,0,48.2,8,86.0,4.26,87.0,2.0,3681.5993,9237566.0,3.5,12.6,0
779,72.3,178.0,6.2,84.0,0,49.3,8,88.0,4.34,89.0,1.8,3836.468771,9371338.0,3.5,12.6,0
778,72.9,164.0,6.05,81.0,0,5.4,8,86.0,4.34,85.0,1.6,4647.31359,954353.0,3.4,12.7,0
777,73.3,161.0,6.12,81.0,0,51.5,8,86.0,4.2,82.0,1.4,511.37937,963652.0,3.4,12.8,0
776,73.6,157.0,6.05,9.0,0,52.6,8,85.0,4.41,82.0,1.2,4952.67753,9767758.0,3.4,12.9,0
775,72.7,166.0,6.02,83.0,0,53.6,8,85.0,4.6,88.0,0.9,5451.6696,9897985.0,3.3,12.9,0
774,73.1,16.0,5.91,9.0,2,54.7,7,84.0,4.22,84.0,0.7,5759.643,12795.0,3.3,13.0,0
773,72.1,174.0,5.93,74.0,0,55.8,7,85.0,4.26,85.0,0.4,5968.876767,115495.0,3.3,13.1,0
772,73.4,157.0,5.93,9.0,0,56.8,7,82.0,4.12,83.0,0.3,627.55544,1281296.0,3.3,13.2,0
771,73.6,154.0,5.92,89.0,0,57.9,7,9.0,4.38,91.0,0.3,6268.692122,145844.0,3.3,13.2,0
770,73.9,152.0,5.92,81.0,0,58.9,7,87.0,4.38,85.0,0.3,6468.471648,1528394.0,3.3,13.2,0
801,72.8,163.0,3.99,36.0,0,43.6,11,83.0,3.38,87.0,0.3,1451.29776,12628596.0,1.6,12.4,0
800,73.4,158.0,4.13,69.0,2,44.3,10,9.0,3.86,89.0,0.3,193.741571,12852755.0,1.6,12.4,0
799,73.6,157.0,3.88,75.0,0,45.1,10,88.0,4.62,88.0,0.3,2183.966796,13726.0,1.5,12.5,0
798,74.4,151.0,3.69,82.0,0,45.8,10,97.0,6.46,87.0,0.3,244.46898,1328961.0,1.5,12.6,0
797,74.4,148.0,3.65,88.0,0,46.5,9,9.0,6.22,88.0,0.3,278.557892,1359647.0,1.5,12.7,0
796,74.2,151.0,3.54,92.0,0,47.2,9,89.0,5.87,92.0,0.3,321.942547,13735233.0,1.4,12.8,0
795,74.4,144.0,3.52,96.0,0,47.9,9,92.0,5.86,96.0,0.3,335.786541,1396748.0,1.4,12.8,0
794,74.7,14.0,3.63,94.0,0,48.6,9,95.0,5.94,96.0,0.2,359.71886,1425453.0,1.4,12.9,0
793,74.6,139.0,3.76,93.0,1,49.3,9,94.0,5.66,96.0,0.1,4274.95265,14447562.0,1.3,13.0,0
792,75.1,137.0,3.87,91.0,0,5.0,8,91.0,5.58,94.0,0.1,4255.56571,14691275.0,1.3,13.1,0
791,75.0,134.0,3.95,9.0,0,5.7,8,88.0,5.9,91.0,0.1,4657.32361,1493469.0,1.3,13.1,0
790,75.3,131.0,3.99,88.0,257,51.4,8,85.0,5.92,88.0,0.1,5223.351763,15177355.0,1.3,13.2,0
789,75.5,127.0,3.92,88.0,72,52.1,8,85.0,6.48,87.0,0.1,572.14313,15419666.0,1.3,13.3,0
788,76.0,121.0,3.77,87.0,0,52.8,8,87.0,7.29,87.0,0.1,674.9829,15661547.0,1.3,13.4,0
787,76.0,121.0,3.82,83.0,0,53.5,7,84.0,9.16,83.0,0.1,6432.216537,1593112.0,1.2,14.0,0
786,76.2,118.0,3.82,78.0,0,54.2,7,84.0,9.16,78.0,0.1,625.62224,16144368.0,1.2,14.0,0
817,68.8,171.0,0.14,98.0,2633,5.7,82,98.0,5.55,98.0,0.1,1228.829749,1396923.0,3.6,11.0,0
816,68.6,177.0,0.14,99.0,2150,51.2,78,99.0,5.75,99.0,0.1,1228.829749,1396923.0,3.5,11.1,0
815,68.7,177.0,0.15,97.0,653,51.8,75,97.0,5.97,97.0,0.1,1228.829749,1396923.0,3.4,11.2,0
814,68.6,178.0,0.15,98.0,164,52.3,72,98.0,5.41,98.0,0.1,1228.829749,1396923.0,3.3,11.3,0
813,69.0,176.0,0.16,97.0,80,52.9,70,97.0,5.21,97.0,0.1,1228.829749,1396923.0,3.3,11.2,0
812,69.4,174.0,0.16,98.0,77,53.5,68,98.0,5.6,98.0,0.1,1228.829749,1396923.0,3.2,11.4,0
811,69.5,175.0,0.18,98.0,953,54.2,66,98.0,5.24,98.0,0.1,1228.829749,1396923.0,3.2,11.5,0
810,69.7,171.0,0.21,98.0,1684,54.8,65,98.0,4.95,98.0,0.1,1228.829749,1396923.0,3.1,11.7,0
809,69.8,172.0,0.24,97.0,668,55.5,65,97.0,4.82,97.0,0.1,1228.829749,1396923.0,3.1,11.9,0
808,69.9,174.0,0.21,97.0,608,56.2,64,97.0,5.1,97.0,0.1,1228.829749,1396923.0,3.0,12.0,0
807,70.0,173.0,0.22,97.0,16,57.0,64,97.0,4.8,97.0,0.1,1228.829749,1396923.0,3.0,12.2,0
806,74.0,168.0,0.22,96.0,26,57.8,64,96.0,5.4,96.0,0.1,1228.829749,1396923.0,2.9,12.4,0
805,72.0,165.0,0.23,93.0,245,58.6,64,93.0,5.29,93.0,0.1,1228.829749,1396923.0,2.9,12.4,0
804,79.0,159.0,0.21,97.0,405,59.4,63,97.0,5.46,97.0,0.1,1228.829749,1396923.0,2.9,12.8,0
803,78.0,161.0,0.21,94.0,1314,6.2,62,94.0,5.64,94.0,0.1,1228.829749,1396923.0,2.8,13.1,0
802,79.0,159.0,0.21,93.0,5432,61.1,60,93.0,5.64,93.0,0.1,1228.829749,1396923.0,2.8,13.1,0
833,69.0,218.0,2.79,99.0,0,45.3,5,98.0,8.17,99.0,0.4,2238.4116,5867626.0,2.1,11.3,0
832,68.9,219.0,2.88,75.0,2,46.2,4,94.0,8.2,92.0,0.4,2338.772244,595962.0,2.1,11.6,0
831,73.0,24.0,2.97,81.0,0,47.0,4,81.0,7.9,81.0,0.4,248.4125,59433.0,2.0,11.8,0
830,69.9,29.0,3.1,94.0,0,47.8,4,93.0,7.61,94.0,0.3,2519.737387,5971535.0,2.0,12.0,0
829,70.0,215.0,2.9,9.0,0,48.6,3,9.0,7.3,9.0,0.3,2632.79942,6775.0,1.9,12.4,0
828,71.0,213.0,2.77,89.0,0,49.4,3,89.0,7.19,89.0,0.2,2835.281237,628961.0,1.9,12.7,0
827,75.0,211.0,2.77,96.0,0,5.1,3,96.0,6.68,96.0,0.2,362.951768,656478.0,1.8,12.9,0
826,71.2,23.0,2.83,99.0,0,5.8,3,99.0,6.32,99.0,0.3,334.83817,683475.0,1.8,12.9,0
825,71.7,194.0,2.68,98.0,0,51.4,3,98.0,6.21,98.0,0.3,357.347674,61131.0,1.8,13.4,0
824,71.4,23.0,2.55,91.0,0,52.1,2,91.0,6.83,91.0,0.3,3366.482133,6137276.0,1.7,12.8,0
823,72.0,191.0,2.36,89.0,0,52.8,2,89.0,6.91,89.0,0.3,3474.392445,6164626.0,1.7,12.9,0
822,72.0,197.0,2.37,89.0,0,53.4,2,9.0,6.81,89.0,0.3,3736.58713,619256.0,1.7,13.0,0
821,73.0,181.0,2.48,92.0,0,54.1,2,93.0,6.7,92.0,0.3,3827.786267,6221246.0,1.6,13.2,0
820,73.0,184.0,2.42,92.0,0,54.7,2,92.0,6.95,92.0,0.2,3895.664491,625777.0,1.6,13.2,0
819,73.3,181.0,2.52,93.0,0,55.4,2,93.0,6.77,94.0,0.2,3988.771871,6281189.0,1.6,13.2,0
818,73.5,178.0,2.52,91.0,0,56.1,2,92.0,6.77,91.0,0.2,4127.11775,6312478.0,1.6,13.2,0
849,52.7,336.0,4.46,91.0,0,18.3,4,41.0,2.73,34.0,1.9,172.68491,614323.0,1.7,0.0,0
848,53.1,334.0,5.07,91.0,1339,18.7,4,43.0,1.78,35.0,2.3,2283.87939,639762.0,1.6,8.0,0
847,53.5,334.0,6.01,91.0,24,19.1,4,44.0,2.5,36.0,2.9,2711.17114,66647.0,1.4,8.2,0
846,53.8,334.0,7.13,91.0,18,19.5,4,46.0,2.23,37.0,3.6,3577.176197,694611.0,1.2,8.4,0
845,54.1,336.0,6.28,91.0,38,19.8,4,48.0,2.4,38.0,4.4,685.34897,724817.0,1.0,8.5,0
841,55.4,338.0,8.34,91.0,436,21.3,4,55.0,2.31,42.0,6.3,22742.38159,868418.0,9.3,9.1,0
840,55.7,34.0,7.97,91.0,78,21.7,4,57.0,5.32,43.0,7.3,1653.2937,99111.0,9.2,9.1,0
839,56.1,339.0,9.93,91.0,0,22.1,4,59.0,3.84,44.0,7.2,17136.44568,95114.0,9.0,9.2,0
838,56.2,344.0,10.99,91.0,0,22.6,4,39.0,3.29,41.0,7.7,21451.88617,99429.0,8.9,9.2,0
837,56.7,337.0,11.89,91.0,1190,23.0,4,9.0,4.0,24.0,8.2,21557.6528,138593.0,8.7,9.2,0
836,57.4,327.0,10.72,91.0,321,23.5,4,9.0,3.73,9.0,5.7,2246.9938,183746.0,8.6,9.2,0
835,57.9,32.0,0.01,9.0,13,24.0,4,24.0,3.8,9.0,4.4,192.59733,1129424.0,8.5,9.2,0
834,58.2,32.0,0.01,16.0,1250,24.5,4,17.0,3.8,16.0,4.2,1347.31257,1175389.0,8.4,9.2,0
865,45.3,399.0,0.83,91.0,789,12.6,10,82.0,4.43,81.0,1.9,28.1969487,339281.0,1.2,3.9,0
864,58.1,345.0,0.61,91.0,204,12.8,10,89.0,3.95,86.0,2.0,215.139213,3497124.0,1.0,4.3,0
863,58.5,343.0,0.83,86.0,460,13.1,10,92.0,4.2,9.0,1.9,21.7687981,3614639.0,9.9,4.4,0
862,58.8,343.0,0.56,91.0,376,13.3,10,95.0,3.5,93.0,1.9,232.7945459,3738265.0,9.7,4.7,0
861,59.1,342.0,0.64,84.0,24,13.6,10,98.0,3.14,98.0,1.8,287.4222243,3858623.0,9.6,5.0,0
860,59.4,34.0,1.07,96.0,19,13.9,9,96.0,2.97,96.0,1.6,276.75896,39697.0,9.4,5.4,0
859,59.7,336.0,0.97,94.0,128,14.3,9,94.0,3.3,94.0,1.4,297.828588,466648.0,9.3,5.3,0
858,62.0,329.0,1.23,91.0,55,14.7,9,91.0,3.29,91.0,1.3,317.3294336,4153332.0,9.2,5.3,0
857,67.0,322.0,0.49,94.0,0,15.1,9,94.0,3.69,94.0,1.1,326.825642,4232636.0,9.1,5.2,0
856,61.4,311.0,0.63,92.0,82,15.5,9,92.0,3.3,92.0,1.0,43.7544499,431334.0,9.0,5.2,0
855,62.1,298.0,0.61,9.0,51,16.0,9,9.0,3.24,9.0,0.9,482.14994,43984.0,8.9,5.1,0
854,62.9,286.0,0.62,96.0,48,16.5,8,96.0,3.6,96.0,0.7,582.775532,447469.0,8.8,5.0,0
853,63.6,274.0,0.01,94.0,194,17.0,8,94.0,2.98,94.0,0.6,582.775532,447469.0,8.7,5.0,0
852,64.0,266.0,0.01,94.0,45,17.5,8,94.0,3.1,94.0,0.5,582.775532,447469.0,8.6,5.0,0
851,64.4,261.0,0.01,94.0,127,18.0,8,94.0,3.34,94.0,0.4,582.775532,447469.0,8.5,5.0,0
850,64.7,255.0,0.01,95.0,198,18.6,7,95.0,3.34,95.0,0.4,582.775532,447469.0,8.4,5.0,0
881,78.0,218.0,0.01,91.0,9,54.0,0,93.0,5.28,93.0,0.1,47.32827,1396985.0,2.5,14.4,0
880,78.0,225.0,0.01,91.0,0,54.3,0,94.0,4.85,94.0,0.1,4498.95727,1388115.0,2.4,15.0,0
879,71.2,211.0,11.48,91.0,0,54.6,0,94.0,4.84,94.0,0.1,538.347781,137935.0,2.3,15.4,0
878,71.9,199.0,11.64,91.0,0,54.9,0,95.0,4.92,94.0,0.1,7174.237415,13772.0,2.2,15.6,0
877,72.3,195.0,15.07,9.0,0,55.2,0,95.0,5.13,94.0,0.1,885.465115,136255.0,2.2,15.7,0
876,72.8,189.0,15.52,95.0,2,55.5,0,96.0,5.2,96.0,0.1,1338.31322,1354775.0,2.1,15.9,0
875,73.0,188.0,16.58,95.0,27,55.9,0,95.0,5.1,95.0,0.1,12595.4165,134681.0,2.1,16.1,0
874,73.0,189.0,17.87,95.0,1,56.3,0,95.0,5.16,95.0,0.1,16586.452,13468.0,2.0,16.1,0
873,74.2,167.0,16.99,94.0,0,56.7,0,95.0,6.6,95.0,0.1,1894.5485,13379.0,2.0,16.1,0
872,74.9,156.0,15.04,95.0,0,57.1,0,95.0,6.93,95.0,0.1,14726.31828,1334515.0,2.0,16.1,0
871,75.6,137.0,14.97,94.0,0,57.6,0,94.0,6.25,94.0,0.1,14638.6482,1331475.0,1.9,16.2,0
870,76.1,138.0,0.01,94.0,7,58.0,0,93.0,5.83,93.0,0.1,17454.84342,1327439.0,1.9,16.4,0
869,76.3,135.0,0.01,94.0,4,58.5,0,94.0,6.36,94.0,0.1,17421.8922,1322696.0,1.9,16.5,0
868,76.9,127.0,0.01,93.0,2,59.0,0,94.0,6.48,94.0,0.1,1929.7746,1317997.0,1.9,16.5,0
867,77.3,122.0,0.01,93.0,0,59.4,0,93.0,6.38,93.0,0.1,19941.45532,1314545.0,1.9,16.5,0
866,77.6,119.0,0.01,91.0,4,59.9,0,93.0,6.38,93.0,0.1,1774.9291,131547.0,1.9,16.5,0
897,51.2,391.0,0.88,91.0,1660,12.3,404,55.0,4.36,9.0,5.0,123.876257,66537331.0,11.9,3.9,0
896,52.5,372.0,0.85,91.0,2366,12.6,392,55.0,4.26,32.0,4.9,12.1789279,68492257.0,11.8,4.3,0
895,53.2,369.0,0.8,91.0,3332,12.9,377,55.0,4.73,35.0,4.6,111.3634356,7497192.0,11.7,4.9,0
894,54.0,363.0,0.79,91.0,228,13.2,360,55.0,4.64,37.0,4.4,118.8734466,72545144.0,11.6,5.2,0
893,55.0,354.0,0.86,91.0,73,13.5,342,54.0,4.23,9.0,4.1,135.7623858,7462445.0,11.5,5.4,0
892,56.0,343.0,0.99,91.0,357,13.8,323,56.0,4.2,44.0,3.7,161.6266248,7672783.0,11.5,5.8,0
891,57.2,328.0,1.22,91.0,1451,14.2,304,59.0,4.47,46.0,3.3,193.794956,7885689.0,11.4,6.6,0
890,58.5,39.0,1.06,47.0,1446,14.5,286,61.0,4.69,9.0,2.8,243.326822,8149.0,11.3,7.1,0
889,59.8,289.0,1.13,52.0,3511,14.9,270,63.0,4.28,54.0,2.4,325.3825543,83184892.0,11.2,7.6,0
888,68.0,274.0,1.17,56.0,1176,15.3,256,65.0,4.41,58.0,2.0,379.7566385,85416253.0,11.1,8.1,0
887,61.8,261.0,1.34,62.0,4235,15.6,243,69.0,6.86,61.0,1.7,341.39992,877267.0,11.0,8.1,0
886,62.6,249.0,1.32,65.0,3255,16.0,231,9.0,6.55,65.0,1.4,354.8463544,946756.0,1.9,8.2,0
885,63.3,241.0,1.84,69.0,4347,16.4,221,9.0,5.77,69.0,1.2,468.567249,92444183.0,1.7,8.4,0
884,63.7,237.0,1.86,72.0,5253,16.8,211,9.0,5.19,72.0,0.9,52.1535887,94887724.0,1.6,8.4,0
883,64.2,234.0,0.01,77.0,10000,17.2,202,75.0,4.88,77.0,0.6,571.1622759,97366774.0,1.5,8.4,0
882,64.8,225.0,0.01,77.0,10000,17.6,194,75.0,4.88,77.0,0.6,645.4637627,9987333.0,1.4,8.4,0
913,67.7,221.0,2.05,98.0,0,5.2,0,91.0,3.87,9.0,0.1,276.1338,811223.0,4.3,13.1,0
912,67.8,221.0,1.93,98.0,17,51.2,0,92.0,3.28,91.0,0.1,238.891729,814218.0,4.3,13.2,0
911,67.9,22.0,1.85,99.0,304,52.2,0,94.0,3.48,93.0,0.1,2259.55796,815691.0,4.2,13.3,0
910,68.0,22.0,1.76,99.0,305,53.2,0,95.0,3.35,94.0,0.1,2835.973972,816628.0,4.2,13.3,0
909,68.1,218.0,1.63,99.0,37,54.2,0,96.0,3.61,95.0,0.1,3332.918533,818354.0,4.2,13.4,0
908,68.3,214.0,2.02,99.0,0,55.1,0,97.0,3.61,96.0,0.1,3658.63832,821817.0,4.1,13.9,0
907,68.5,211.0,2.06,99.0,136,55.9,0,98.0,3.84,98.0,0.1,3749.939813,827411.0,4.1,14.0,0
906,68.6,29.0,2.09,99.0,0,56.6,0,99.0,3.74,99.0,0.1,478.82327,834812.0,4.1,14.2,0
905,68.7,26.0,1.95,99.0,0,57.3,0,99.0,3.68,99.0,0.1,4177.657789,84334.0,4.0,14.3,0
904,68.9,23.0,2.31,99.0,1,58.0,0,99.0,4.26,99.0,0.1,3369.48247,851967.0,4.0,14.5,0
903,69.1,2.0,2.25,99.0,0,58.7,0,99.0,4.23,99.0,0.1,3651.966784,85995.0,4.0,14.6,0
902,69.2,197.0,0.01,99.0,0,59.5,0,99.0,4.6,99.0,0.1,4353.121392,86786.0,4.0,14.7,0
901,69.4,195.0,0.01,99.0,0,6.2,0,99.0,4.16,99.0,0.1,4546.73854,873596.0,4.0,14.9,0
900,69.6,192.0,0.01,99.0,0,61.1,0,99.0,4.26,99.0,0.1,4763.68956,879715.0,4.0,15.0,0
899,69.7,19.0,0.01,99.0,0,61.9,0,99.0,4.49,99.0,0.1,546.3728,88586.0,4.0,15.2,0
898,69.9,188.0,0.01,99.0,0,62.7,0,99.0,4.49,99.0,0.1,4921.89629,892149.0,4.0,15.3,0
929,77.5,15.0,8.59,91.0,0,55.5,0,96.0,7.22,99.0,0.1,24253.2542,517629.0,0.9,17.3,0
928,78.0,1.0,8.94,91.0,1,56.1,0,95.0,7.43,98.0,0.1,24913.24452,51888.0,0.9,17.7,0
927,78.1,98.0,9.25,91.0,0,56.6,0,95.0,7.81,98.0,0.1,26834.2625,52598.0,0.9,18.0,0
926,78.4,98.0,9.31,91.0,0,57.1,0,96.0,8.15,98.0,0.1,32816.1688,521314.0,0.9,18.1,0
925,78.7,12.0,9.89,91.0,0,57.6,0,96.0,8.21,98.0,0.1,37636.11173,5228172.0,0.9,18.3,0
924,78.9,11.0,9.95,91.0,1,58.1,0,97.0,8.43,97.0,0.1,38969.17163,524696.0,0.9,17.1,0
923,79.2,96.0,10.15,91.0,0,58.6,0,97.0,8.38,97.0,0.1,4112.67651,5266268.0,0.9,17.2,0
922,79.3,96.0,10.45,91.0,0,59.0,0,97.0,8.9,99.0,0.1,48288.5491,528872.0,0.9,17.2,0
921,79.6,94.0,10.26,91.0,5,59.4,0,97.0,8.35,99.0,0.1,5341.31487,5313399.0,0.9,17.1,0
920,79.7,91.0,9.96,91.0,2,59.8,0,99.0,9.2,99.0,0.1,4717.15571,5338871.0,0.9,17.0,0
919,79.9,89.0,9.72,91.0,5,6.2,0,99.0,9.5,99.0,0.1,4622.41516,5363352.0,0.9,16.8,0
918,83.0,86.0,9.81,91.0,27,6.6,0,99.0,9.1,99.0,0.1,579.72415,5388272.0,0.9,16.9,0
917,84.0,82.0,9.24,91.0,0,61.0,0,99.0,9.3,99.0,0.1,47415.55987,5413971.0,0.9,17.0,0
916,87.0,79.0,8.97,91.0,2,61.4,0,98.0,9.55,98.0,0.1,49638.7713,5438972.0,0.9,17.0,0
915,89.0,78.0,8.8,91.0,0,61.7,0,98.0,9.68,98.0,0.1,49914.61864,5461512.0,0.9,17.0,0
914,81.1,76.0,8.8,91.0,2,62.1,0,97.0,9.68,97.0,0.1,4245.39744,5479531.0,0.9,17.0,0
945,78.8,13.0,13.63,26.0,10000,54.6,4,98.0,9.77,97.0,0.1,22465.64184,6912498.0,0.7,15.7,0
944,79.0,13.0,13.89,28.0,0,55.2,4,98.0,9.89,97.0,0.1,22527.31775,61357431.0,0.7,15.6,0
943,79.2,11.0,13.78,29.0,5185,55.8,4,97.0,1.22,97.0,0.1,24275.2426,6185267.0,0.7,15.5,0
942,79.3,99.0,13.49,28.0,0,56.4,4,96.0,1.43,97.0,0.1,29691.18158,62244884.0,0.6,15.4,0
941,82.0,94.0,13.18,35.0,4448,57.0,4,99.0,1.53,98.0,0.1,33874.74255,6274897.0,0.6,15.5,0
940,81.0,93.0,12.2,35.0,36,57.5,4,98.0,1.6,98.0,0.1,34879.72633,63179356.0,0.6,15.5,0
939,86.0,92.0,12.4,39.0,40,58.0,4,99.0,1.53,99.0,0.1,36544.5853,63621376.0,0.6,16.1,0
938,89.0,89.0,12.2,42.0,39,58.6,3,99.0,1.45,98.0,0.1,416.58397,6416229.0,0.6,16.1,0
937,89.0,88.0,11.9,47.0,604,59.1,3,98.0,1.57,98.0,0.1,45413.6571,6437499.0,0.6,16.1,0
936,81.1,88.0,11.8,51.0,1541,59.6,3,98.0,11.28,98.0,0.1,41631.13141,647744.0,0.6,16.0,0
935,81.3,86.0,11.7,65.0,5048,6.1,3,99.0,11.2,99.0,0.1,473.34279,6527512.0,0.6,16.0,0
934,81.7,83.0,11.8,74.0,10000,6.6,3,99.0,11.33,99.0,0.1,4381.288,65342776.0,0.6,16.1,0
933,81.5,83.0,11.5,78.0,0,61.1,3,99.0,11.44,99.0,0.1,4838.2444,6565979.0,0.6,16.1,0
932,82.0,81.0,11.1,74.0,272,61.6,3,99.0,11.56,99.0,0.1,42554.1225,6599857.0,0.6,16.2,0
931,82.2,79.0,11.5,83.0,267,62.0,3,98.0,11.54,98.0,0.1,42955.24287,66331957.0,0.6,16.2,0
930,82.4,78.0,11.5,86.0,157,62.5,3,98.0,11.54,98.0,0.1,36526.7711,6662468.0,0.7,16.3,0
961,61.0,296.0,8.87,91.0,15,28.1,3,44.0,2.89,45.0,8.6,4116.46693,1231122.0,8.0,12.2,0
960,59.8,37.0,9.29,91.0,5129,28.7,3,44.0,3.23,45.0,8.6,3976.14887,1262259.0,7.8,12.3,0
959,59.7,315.0,8.34,91.0,110,29.2,3,44.0,3.22,45.0,8.6,412.55271,129449.0,7.7,12.3,0
958,59.7,32.0,6.47,91.0,0,29.8,3,44.0,3.48,45.0,8.6,4892.11618,1328146.0,7.5,12.3,0
955,61.4,288.0,8.01,52.0,90,31.4,3,44.0,2.88,45.0,8.6,727.777345,1444844.0,7.1,12.4,0
954,61.6,291.0,9.02,75.0,0,31.9,3,78.0,2.86,81.0,8.6,8352.81711,1489193.0,6.9,12.4,0
953,61.6,298.0,8.75,82.0,3,32.4,3,81.0,2.54,82.0,8.6,194.2746,1536411.0,6.8,12.4,0
952,61.7,31.0,8.64,79.0,0,33.0,3,74.0,3.43,76.0,8.0,763.66223,1586754.0,6.7,12.4,0
